caseid,SOCIETY_TRANS_W92,FREECOLL_W92,UNIMMIGCOMM_W92,ECON4_b_W54,F_PARTY_FINAL,FAMSURV2Wc_W50,F_AGECAT,BILLION_W92,ELECT_IMPT3_PRVFR_W92,F_INCOME,INEQ1_W54,GOVPRIORITYb_W54,POLINTOL2_a_W92,GOVPRIORITYd_W54,SATLIFEc_W50,PROG_RNEED_W92,F_RELIG,FAMSURV6_W50,GODMORALIMP_W92,FAMSURV2Mc_W50,WHADVANT_W92,REPRSNTREP_W92,USEXCEPT_W92,ELECT_CONF3_PRVFR_W92,ELECT_CONF3_PRVSUP_W92,F_SEX,GOVPRIORITYf_W54,REPRSNTDEM_W92,ECON1_W54,ECON4_a_W54,F_RACETHNMOD,GOVPRIORITYc_W54,F_EDUCCAT2,RACESURV52MOD_W92,F_IDEO,F_CREGION,CANDEXP_W92,FIN_SIT_W54,FAMSURV1_W50
665914.0,C,D,A,B,A,A,D,C,D,E,C,B,D,A,D,C,K,C,B,B,C,A,A,D,D,B,B,D,B,B,E,B,G,A,B,A,D,C,A
666052.0,D,A,A,D,C,B,B,C,D,C,A,A,B,B,B,A,K,B,D,B,A,C,A,A,D,B,B,B,B,C,E,D,B,A,C,B,A,D,B
666122.0,E,A,A,C,A,C,B,A,D,I,C,C,D,A,C,B,J,A,C,B,B,A,A,D,B,A,A,D,B,B,E,A,F,B,B,C,C,A,B
666213.0,E,C,A,D,A,C,B,C,D,B,C,B,D,A,A,B,A,A,D,C,B,A,A,D,C,B,A,C,C,A,E,A,F,B,B,A,C,D,B
666547.0,A,D,D,D,C,C,B,C,D,H,B,A,B,C,B,C,H,C,C,B,C,C,C,B,D,B,B,A,B,B,C,C,D,D,C,A,C,D,B
666898.0,E,C,B,B,B,A,B,B,C,H,C,A,D,A,D,B,G,A,B,A,B,C,C,C,C,B,A,C,A,B,A,A,A,D,A,C,C,C,B
666952.0,A,D,B,D,B,B,D,C,D,H,A,A,B,B,B,A,H,A,D,B,D,C,A,B,B,B,B,A,B,A,E,B,G,C,A,C,B,C,B
667611.0,D,A,D,C,C,A,D,C,D,A,A,A,D,A,A,C,K,C,B,A,C,C,B,A,C,B,C,A,B,D,E,C,B,A,A,A,A,B,C
667828.0,D,A,B,D,D,B,C,C,D,F,C,B,B,D,C,B,H,C,C,B,D,C,A,B,C,B,B,A,B,B,C,B,D,B,C,B,C,B,B
668019.0,A,B,A,D,B,B,B,A,D,F,C,B,C,B,B,B,A,A,C,B,B,A,A,C,B,B,A,C,B,D,E,A,F,B,B,A,C,C,B
668132.0,E,C,C,C,B,C,B,A,B,B,C,C,D,A,A,B,B,C,C,B,B,A,C,D,B,B,A,B,C,C,E,A,G,B,B,A,B,D,A
668249.0,E,C,A,D,A,B,A,B,C,G,C,C,D,A,B,B,H,C,C,B,A,A,C,C,C,B,A,C,C,D,E,A,A,B,B,B,D,D,B
668325.0,B,C,B,C,B,B,B,A,C,F,C,B,A,C,C,B,L,C,C,B,C,A,C,C,D,A,A,B,D,B,D,B,C,B,E,D,D,A,B
669732.0,D,C,D,C,D,A,C,C,D,A,C,A,D,A,C,B,J,D,A,C,B,A,A,B,B,A,B,A,C,A,B,B,B,B,A,D,D,B,C
669822.0,E,C,A,B,B,B,C,A,D,G,C,C,D,B,C,B,J,A,A,B,B,B,A,D,D,A,A,C,C,D,B,A,D,B,A,C,C,D,A
669995.0,B,B,D,C,D,B,C,B,D,B,A,B,C,B,D,A,K,B,B,B,D,C,A,C,D,B,B,A,B,B,E,C,F,C,C,D,B,C,A
670311.0,A,B,B,D,B,B,A,C,B,E,C,B,C,B,B,A,H,B,D,B,D,B,A,B,B,B,B,B,B,D,A,B,A,C,B,A,B,B,B
671213.0,E,B,A,D,A,A,C,C,D,I,C,B,D,B,C,B,J,C,C,C,D,A,C,D,C,B,A,C,C,B,E,B,B,B,B,A,D,B,B
671357.0,E,B,A,A,A,B,B,A,D,B,C,C,D,A,B,B,J,C,C,B,B,A,A,D,B,B,A,C,D,B,E,A,F,B,B,D,D,D,B
671621.0,E,C,A,D,A,B,B,C,B,G,C,C,D,A,C,B,H,C,B,B,B,B,A,C,C,A,B,C,C,B,B,A,B,C,C,B,B,A,A
671949.0,B,C,B,A,B,B,B,B,D,F,C,B,C,A,B,B,C,C,A,B,A,C,C,B,D,B,A,B,C,B,A,B,G,B,C,A,D,D,B
672507.0,A,D,A,A,C,B,C,B,D,H,A,A,C,D,B,C,K,C,B,A,C,D,B,C,D,B,B,B,A,D,E,B,B,C,A,C,A,D,B
672514.0,A,B,A,D,C,B,B,C,C,H,C,C,B,C,B,B,J,A,D,B,A,C,A,B,C,B,B,B,B,A,E,B,G,C,A,A,C,D,A
672767.0,C,A,A,D,D,B,D,A,C,B,C,C,A,A,B,B,J,A,D,B,B,A,A,C,B,B,A,C,B,C,E,A,F,C,C,D,B,D,A
672902.0,D,D,D,C,A,B,C,B,D,D,B,A,C,B,C,B,J,D,A,B,B,C,B,D,D,A,A,A,D,B,E,A,D,A,D,C,D,B,B
672976.0,D,C,D,C,A,C,B,C,D,G,A,A,D,B,A,C,H,C,C,C,C,A,B,A,C,B,A,A,B,C,E,A,D,A,A,D,B,C,B
673096.0,E,C,A,D,A,B,D,C,D,F,C,B,D,A,A,A,L,C,C,B,B,B,A,D,C,B,A,D,A,A,B,A,D,B,C,C,B,D,A
673327.0,D,D,D,D,C,B,D,C,D,F,C,A,B,D,B,A,J,C,B,B,A,C,B,A,C,A,B,A,A,B,E,C,F,D,D,C,A,D,C
673466.0,D,D,A,D,C,B,D,C,D,F,A,A,B,D,B,B,K,D,A,B,D,C,B,A,A,B,A,A,B,A,E,C,F,A,A,C,C,D,C
673492.0,A,A,B,A,A,B,A,B,D,E,C,B,B,A,A,A,K,C,B,B,A,B,A,D,A,A,A,C,B,D,C,B,E,C,A,A,D,B,B
673589.0,A,D,B,B,B,B,D,B,D,B,A,A,D,D,D,B,E,A,B,B,C,D,A,C,D,B,A,A,A,B,E,C,B,A,C,D,D,C,A
673644.0,D,D,D,A,C,B,C,B,D,E,B,A,A,D,B,C,A,C,D,B,C,C,A,A,D,B,D,A,B,A,E,D,F,B,A,C,B,D,C
673692.0,A,C,A,B,B,B,B,A,C,C,C,B,D,A,B,B,D,A,C,B,A,B,C,B,B,B,A,B,B,B,A,A,F,C,C,C,B,C,B
673810.0,C,D,A,C,B,B,D,A,C,C,C,C,B,B,D,A,B,A,C,B,D,B,A,D,C,B,B,C,B,D,E,B,F,B,C,C,C,C,A
673888.0,E,A,B,C,B,C,A,B,D,E,C,B,D,A,A,A,B,B,C,C,A,A,C,D,C,B,B,A,D,D,E,A,B,B,C,C,C,B,B
674111.0,E,C,A,C,D,C,B,A,B,G,C,D,D,A,B,B,B,C,C,C,B,A,C,D,B,B,B,C,C,C,E,A,B,B,E,A,C,D,B
674200.0,A,D,C,A,B,B,A,C,D,G,C,A,C,A,C,C,J,B,C,B,D,B,A,B,D,B,B,B,C,D,E,B,B,B,C,C,A,D,B
674251.0,E,C,C,D,A,B,B,A,D,C,C,C,D,A,B,B,B,C,C,B,B,A,C,D,A,A,A,C,C,B,E,A,F,B,E,B,C,D,A
674254.0,E,A,A,D,A,C,B,A,C,C,C,D,C,A,D,B,B,C,C,C,B,A,C,D,B,A,A,C,C,C,E,A,F,B,E,C,C,C,A
674255.0,B,C,A,C,A,B,D,C,D,G,C,B,C,A,A,B,J,C,B,C,B,A,A,D,C,B,A,C,B,A,B,A,B,C,C,C,C,B,C
674682.0,E,A,A,A,A,B,B,A,A,B,B,B,C,A,B,B,H,A,C,C,B,A,A,C,C,B,B,B,C,A,B,A,B,B,B,A,C,D,B
674960.0,E,A,A,D,A,C,B,A,D,E,C,C,C,A,A,B,A,C,D,C,B,A,C,B,B,A,A,B,C,A,D,A,G,B,C,D,C,D,B
675077.0,C,A,A,D,A,C,C,C,C,C,C,C,D,A,B,B,H,C,C,C,A,A,C,D,C,B,A,C,C,D,E,A,D,C,B,B,D,C,C
675179.0,E,C,A,D,A,C,C,A,B,C,C,C,D,A,D,B,B,A,C,C,B,A,C,D,B,A,B,C,B,C,E,A,B,B,E,D,B,C,A
675257.0,E,A,C,D,A,B,B,C,C,B,C,B,D,A,B,B,K,A,C,B,B,B,A,D,C,B,B,C,C,A,E,B,A,B,B,A,C,D,B
675411.0,B,D,D,A,C,B,C,B,D,B,A,A,B,D,B,A,K,D,A,B,C,D,A,B,D,B,B,A,A,A,E,C,F,B,A,C,A,D,B
675523.0,D,D,D,D,B,B,B,C,D,F,A,A,C,C,D,A,J,B,A,B,D,C,B,C,C,B,C,B,B,D,E,C,B,C,A,A,B,C,B
675553.0,D,D,B,D,C,A,A,B,D,E,A,A,A,B,B,C,F,D,B,A,D,C,B,B,B,B,B,A,B,B,E,D,G,B,D,D,B,B,B
675850.0,D,D,D,A,C,B,B,B,D,B,A,A,B,D,B,C,J,D,A,B,C,C,B,B,D,B,C,A,A,A,E,D,B,A,D,C,A,C,B
675879.0,D,C,C,C,B,A,B,A,D,G,C,D,D,B,A,B,J,A,C,B,B,A,C,A,C,A,A,A,D,B,C,A,F,B,C,C,D,D,B
675916.0,E,C,C,C,B,C,C,A,B,C,C,D,D,A,B,B,B,C,C,C,B,A,C,D,A,B,B,A,D,C,E,A,F,B,B,A,B,C,B
676590.0,C,C,A,C,A,B,A,A,D,A,C,B,B,A,C,A,B,A,C,B,A,A,C,C,C,B,A,D,C,B,E,B,G,D,C,D,D,B,B
676644.0,B,D,D,B,C,B,C,C,D,B,A,A,A,B,B,A,J,D,B,B,C,C,B,A,D,A,A,A,A,B,E,B,B,D,A,B,C,D,C
676669.0,D,B,D,D,C,B,B,B,D,F,C,A,C,C,A,B,J,A,A,B,D,D,B,A,D,B,C,A,B,B,E,B,D,D,A,B,A,D,B
677397.0,A,B,B,B,C,B,D,B,D,G,A,A,B,B,D,C,J,D,C,C,D,C,A,C,D,B,B,A,A,C,E,C,F,D,A,D,C,C,A
677466.0,E,C,C,C,B,C,C,B,D,A,C,C,D,A,B,A,H,C,C,C,C,A,B,D,B,B,A,C,B,B,E,A,D,C,C,A,B,D,C
677479.0,E,A,A,B,B,B,C,C,D,C,A,C,D,B,A,A,E,C,C,B,D,B,A,D,D,B,B,A,C,A,E,B,D,D,C,C,A,D,B
677553.0,A,B,A,A,B,C,B,C,B,C,C,C,D,A,D,B,J,A,D,C,B,A,A,D,C,A,B,C,C,A,E,A,F,C,C,D,C,C,B
677559.0,C,C,A,D,A,C,C,B,D,D,C,B,D,A,A,B,H,A,C,C,B,B,A,C,C,B,B,C,C,A,C,A,D,C,B,D,C,B,B
677779.0,B,B,A,A,C,B,C,C,D,C,A,A,B,D,D,C,J,B,B,B,C,C,B,B,D,B,C,A,A,A,E,D,B,D,D,D,A,C,C
678074.0,E,A,A,A,A,B,B,A,D,B,C,C,A,A,D,B,K,C,C,B,A,B,A,C,B,A,C,B,C,A,E,B,B,D,A,B,C,D,B
678122.0,A,B,D,A,B,B,C,A,C,D,B,A,B,D,D,A,J,D,B,C,A,C,A,B,C,A,B,B,B,A,E,A,D,C,A,A,B,C,A
678383.0,A,A,B,C,D,B,C,C,C,A,A,C,B,B,B,A,J,B,B,B,A,C,B,C,C,A,A,C,C,D,C,B,D,C,C,D,B,D,B
678480.0,C,D,A,A,A,B,B,A,B,B,C,A,B,A,B,A,I,D,C,A,C,B,A,B,D,A,A,C,B,A,E,A,F,D,C,B,C,C,B
678783.0,D,D,A,C,C,B,A,C,D,C,C,C,B,C,B,C,J,B,B,B,C,C,A,B,D,A,C,A,B,D,E,B,B,B,A,D,C,D,B
678920.0,D,D,B,D,C,C,C,C,D,F,C,A,C,B,D,A,J,A,D,B,D,C,A,B,C,A,A,A,B,B,E,B,A,B,A,C,D,D,B
679176.0,D,C,A,D,D,C,A,A,B,G,C,C,C,C,C,B,J,B,B,B,B,C,C,C,D,B,B,A,D,B,A,B,G,B,A,D,C,B,B
679496.0,B,A,B,A,A,B,C,A,A,G,B,B,D,A,B,B,J,C,A,A,B,A,B,A,D,B,B,D,B,A,C,B,D,B,C,C,D,D,A
680275.0,A,B,A,D,A,B,D,A,D,E,C,B,D,A,B,B,J,D,A,B,B,A,A,D,A,B,A,B,B,D,B,A,G,C,B,B,B,D,C
680458.0,D,C,A,D,B,B,B,B,B,F,C,C,C,A,B,A,J,B,A,B,D,B,C,B,D,A,A,C,B,A,C,A,E,B,D,B,B,D,A
680547.0,D,C,A,B,D,A,A,C,D,E,B,B,C,B,D,B,H,D,A,A,A,C,A,C,D,A,B,C,A,B,E,B,G,A,C,C,C,D,B
680585.0,C,A,A,D,A,B,C,A,C,B,C,B,D,A,B,A,H,C,C,B,A,B,C,D,B,B,A,C,C,C,E,A,A,C,B,D,C,C,B
680766.0,A,B,A,C,C,A,D,B,D,B,A,A,C,C,B,A,B,C,C,C,D,D,A,B,D,B,A,A,A,C,E,C,B,C,A,D,A,C,C
681508.0,A,C,D,C,D,A,B,A,A,D,A,A,A,C,C,C,H,B,C,A,A,A,A,A,A,A,A,A,C,D,E,C,E,B,C,C,A,D,B
682639.0,D,C,D,B,C,B,C,A,D,H,C,A,A,B,A,B,J,A,C,B,C,C,C,A,A,A,A,A,B,C,E,B,A,A,A,B,A,D,B
682887.0,D,D,D,D,B,B,B,C,D,B,A,A,A,C,C,C,J,D,A,B,C,B,B,A,A,B,B,A,C,D,E,C,B,A,A,C,C,B,B
683500.0,C,C,A,D,D,B,A,A,B,A,C,C,C,A,A,B,H,A,D,B,A,B,A,C,C,B,A,C,B,B,E,A,B,B,A,A,B,D,B
683546.0,D,D,D,B,C,B,D,C,D,G,C,A,B,B,B,A,K,D,B,A,D,C,A,B,D,B,A,A,A,C,E,C,D,A,A,A,C,C,A
683965.0,B,D,A,C,C,B,D,C,D,F,A,A,C,D,D,C,J,B,B,B,D,C,B,B,D,A,C,A,B,D,E,D,A,A,A,D,A,C,A
684084.0,E,C,D,B,A,A,A,B,A,I,C,A,A,A,D,B,J,D,A,A,B,A,C,D,D,B,A,D,C,B,B,A,D,A,E,C,D,D,B
684102.0,C,A,A,A,A,B,A,C,C,B,C,C,D,B,D,B,J,A,B,B,B,A,A,D,A,A,A,C,B,C,E,B,F,B,C,C,C,C,B
684312.0,E,C,A,D,A,B,C,C,B,D,C,B,A,B,C,B,J,A,B,B,B,A,A,C,C,A,A,C,B,B,B,B,B,C,C,C,A,D,B
684598.0,E,C,C,D,D,C,B,A,C,E,C,C,C,A,B,B,J,A,C,C,B,A,A,D,B,A,A,C,C,D,D,B,G,B,E,D,C,D,B
684897.0,D,D,B,B,C,B,D,C,D,B,A,A,A,D,B,C,J,D,B,B,C,C,B,A,D,B,B,A,A,B,E,D,B,D,D,C,A,C,A
685156.0,C,C,D,D,B,C,B,A,D,G,C,B,D,D,D,B,B,C,C,C,D,A,C,B,C,A,A,B,B,D,E,A,B,A,B,D,D,C,B
685591.0,E,A,A,C,A,B,D,A,D,E,C,C,D,A,A,B,B,A,C,B,A,A,A,D,B,A,A,D,B,C,E,A,F,B,E,D,D,D,C
685702.0,C,D,C,A,B,B,C,C,D,C,C,A,B,B,B,A,J,B,B,B,A,C,A,A,D,B,B,B,A,D,E,B,F,B,C,A,B,C,B
685844.0,B,D,B,D,C,B,B,C,D,B,A,A,B,C,B,A,K,B,D,B,D,B,A,B,D,B,B,A,B,D,E,C,B,B,A,B,B,D,B
686190.0,D,D,D,D,C,B,C,C,D,G,A,A,A,A,B,A,J,A,A,B,A,D,B,A,A,A,C,A,B,D,C,C,G,C,D,D,C,D,C
686406.0,B,A,D,C,C,A,C,A,D,D,A,A,B,C,B,B,J,D,A,B,D,C,B,B,D,A,A,A,A,B,E,B,A,D,A,A,C,D,B
686429.0,B,D,D,D,B,B,C,C,D,G,A,A,A,C,B,A,J,D,B,B,D,C,B,B,D,B,B,A,B,D,E,C,F,C,A,C,B,D,B
686595.0,B,B,B,D,C,B,D,B,D,G,C,A,B,C,B,A,J,D,B,B,D,C,A,B,C,B,D,A,B,C,E,B,A,C,A,D,B,C,A
686909.0,A,B,D,A,C,C,B,B,D,H,A,A,B,C,B,A,J,A,B,C,D,C,A,B,C,B,C,A,B,C,E,D,G,C,A,A,C,D,B
686950.0,E,B,B,D,C,A,B,C,D,H,A,A,B,C,A,A,K,A,B,B,D,C,A,B,C,A,A,A,B,D,E,B,F,C,A,A,C,D,C
687087.0,C,A,C,D,A,B,B,B,C,B,C,B,D,A,D,B,D,A,C,B,A,C,C,D,B,B,B,C,B,A,A,B,F,C,C,B,B,C,C
687497.0,C,C,D,D,D,B,A,C,A,D,A,D,A,A,C,C,H,A,D,C,C,A,B,A,B,A,A,A,C,D,C,A,D,B,D,C,A,A,A
687555.0,A,A,A,D,C,B,B,C,D,H,C,B,D,B,D,C,K,A,B,B,C,C,C,A,A,A,A,B,B,C,E,B,F,C,D,C,C,D,B
687565.0,D,C,A,D,A,B,C,A,C,G,B,C,B,B,D,B,J,A,B,C,A,A,A,B,B,B,A,C,C,A,B,A,G,D,B,D,C,C,A
687904.0,D,D,B,C,A,B,C,C,D,G,C,A,C,A,A,C,K,B,A,B,A,C,C,B,B,B,A,B,C,C,E,C,G,B,C,A,C,C,B
687927.0,E,C,A,B,A,C,C,A,C,B,C,C,C,A,D,B,L,A,C,C,B,A,A,D,C,B,A,D,C,D,E,A,F,B,E,A,C,D,B
688022.0,A,B,A,D,C,B,A,C,C,B,C,C,C,B,A,C,H,B,D,B,D,C,C,B,C,B,B,B,B,C,A,B,B,B,C,B,C,D,B
688489.0,A,A,B,C,A,A,C,C,D,D,C,B,D,A,A,A,K,D,D,B,A,B,A,D,D,B,A,D,C,C,B,B,B,D,B,C,C,D,A
688518.0,A,A,C,C,C,C,B,B,D,G,C,B,A,B,A,A,K,B,B,C,A,C,A,A,C,A,B,A,B,D,C,C,F,C,C,C,A,D,B
688563.0,C,B,B,C,B,B,A,B,D,D,C,B,C,A,C,B,J,C,B,B,A,B,B,C,D,A,A,B,B,D,E,B,B,C,C,D,D,B,B
688628.0,D,C,B,D,A,A,B,C,D,C,C,B,D,A,D,B,J,D,B,B,B,B,C,C,C,A,A,C,C,D,B,B,F,B,C,A,D,C,A
688663.0,B,B,A,C,C,C,B,C,D,G,A,A,B,B,A,C,J,A,C,C,C,C,A,A,D,A,B,A,B,B,E,B,E,D,A,C,C,B,C
689031.0,D,B,C,D,D,B,D,A,D,G,C,A,B,B,B,A,J,C,B,B,C,C,A,D,D,B,B,C,B,A,E,B,D,A,C,C,C,D,A
689257.0,E,A,B,A,B,C,B,C,B,C,C,C,C,A,D,B,A,C,C,C,B,B,A,D,C,A,A,C,C,B,E,A,B,B,C,D,C,C,B
689576.0,E,C,C,D,A,C,B,C,B,D,C,C,D,A,A,B,L,C,C,C,B,A,C,C,A,B,A,C,C,C,E,A,F,B,E,D,C,D,B
690065.0,C,B,A,A,B,B,A,B,B,C,C,B,B,A,D,A,B,B,C,B,D,A,A,C,B,B,B,B,B,B,E,C,F,C,C,D,B,C,B
690094.0,C,C,A,A,A,C,C,A,B,C,C,C,C,A,D,B,H,A,C,C,B,A,A,D,D,A,A,C,B,D,E,A,B,B,B,B,C,C,B
690122.0,A,D,A,A,B,C,C,C,D,B,A,A,B,C,B,A,K,A,B,C,D,C,A,C,D,B,B,B,A,D,E,B,B,B,A,C,B,D,C
690139.0,C,C,B,A,B,B,C,C,C,G,C,B,D,A,A,A,H,A,D,B,D,A,C,D,C,B,A,C,C,C,E,A,D,C,C,C,D,D,B
690323.0,A,A,B,A,C,C,C,C,D,B,C,B,B,C,B,A,J,A,B,C,D,C,A,B,D,A,B,B,B,D,E,B,B,A,A,C,B,D,C
690385.0,E,C,A,B,A,B,D,A,D,B,C,C,C,A,B,B,K,C,D,B,A,A,A,C,A,A,A,C,B,C,E,A,F,D,C,D,C,C,A
690413.0,D,D,B,A,B,A,B,B,D,H,A,A,A,D,B,C,K,D,A,B,C,B,B,A,D,B,A,A,A,A,E,D,B,B,A,C,A,C,B
690640.0,C,A,B,A,A,B,B,A,D,B,C,A,C,A,B,A,E,A,D,B,A,B,A,D,D,B,A,C,C,A,E,A,B,C,B,C,C,D,B
690653.0,A,D,B,B,A,B,C,C,D,D,C,A,D,A,A,A,J,C,C,B,A,A,C,D,C,B,A,D,B,B,E,A,G,C,B,B,C,D,A
691056.0,E,C,A,C,A,B,B,A,C,G,C,C,D,A,B,B,A,C,C,B,B,A,A,D,C,B,B,C,B,C,E,A,F,D,B,D,B,D,B
691122.0,C,A,A,A,A,C,D,C,C,B,C,B,C,A,B,B,J,A,B,C,B,A,A,C,C,A,A,D,B,D,E,A,F,C,B,A,D,C,A
691480.0,E,C,B,A,A,B,B,A,D,E,C,A,D,A,B,B,H,C,B,B,B,A,B,D,D,B,A,C,D,A,C,A,G,C,C,B,D,B,A
691647.0,B,C,D,A,A,B,D,C,D,B,C,A,C,B,D,B,J,B,B,B,A,B,B,D,D,A,A,C,C,B,E,B,B,A,A,C,C,D,C
692221.0,A,D,A,A,B,B,D,C,D,G,C,A,B,B,B,A,J,B,A,B,D,D,A,B,C,A,A,A,B,A,E,B,F,C,A,C,B,C,A
692383.0,C,A,A,A,B,B,C,C,C,G,C,B,D,A,B,B,H,C,D,B,A,B,A,C,B,A,B,C,B,A,E,B,G,C,C,D,B,C,B
692394.0,C,A,A,C,A,B,B,C,B,E,A,C,C,A,B,A,H,A,D,B,A,B,A,B,D,B,A,C,C,A,E,C,D,C,A,D,C,D,B
692468.0,A,A,B,B,A,B,C,C,D,E,A,A,B,A,A,B,J,C,B,C,C,B,A,C,C,A,B,B,C,B,E,B,D,C,C,C,C,B,C
692611.0,D,A,D,D,C,C,C,C,D,B,B,A,A,C,A,B,J,B,A,B,C,A,C,A,C,A,C,A,C,B,E,B,D,C,C,C,C,D,A
692848.0,D,D,D,D,C,B,C,C,D,C,A,A,A,C,D,A,K,A,B,B,C,B,B,B,D,B,A,A,A,C,E,C,D,D,D,B,A,C,B
692964.0,D,A,B,A,D,B,D,C,D,B,C,A,C,C,B,A,J,C,B,B,D,C,B,C,C,B,B,A,D,B,E,A,E,A,C,D,C,D,B
693333.0,C,A,A,D,B,A,B,A,D,B,C,C,D,A,A,B,H,B,C,C,B,A,A,D,B,B,B,C,B,A,C,A,B,C,B,A,C,D,B
693981.0,A,D,B,C,D,C,C,B,D,G,A,A,A,B,B,C,H,B,C,C,C,B,A,A,D,B,C,A,B,D,E,C,G,B,C,D,A,C,B
694418.0,C,A,A,C,B,C,C,C,D,A,C,B,B,A,D,B,J,C,B,C,B,B,A,C,B,A,A,B,D,A,B,A,A,A,C,A,C,D,B
694740.0,D,C,B,D,C,B,C,C,D,G,C,A,C,B,B,A,J,A,A,B,D,C,B,B,C,A,A,B,C,A,E,A,G,A,C,A,C,B,C
694952.0,A,C,A,A,B,C,C,A,D,G,C,C,D,C,D,B,H,B,B,B,B,A,A,D,B,B,A,D,B,C,C,B,F,B,B,C,C,C,A
695017.0,B,D,B,B,B,B,B,C,D,B,A,A,B,D,D,C,A,B,D,B,C,C,B,A,D,B,D,A,A,D,E,D,B,A,C,B,B,D,B
695229.0,C,B,A,D,A,B,B,A,D,G,C,C,C,A,A,B,H,C,C,B,B,B,C,D,B,B,A,C,C,A,E,A,B,B,E,B,C,B,B
695793.0,A,B,B,D,D,C,B,C,D,G,C,A,B,C,B,C,J,A,B,C,C,B,A,A,D,B,D,A,B,A,E,C,B,B,D,D,C,D,B
696037.0,D,D,A,D,C,B,D,C,D,G,B,A,A,B,B,A,K,C,B,C,A,C,B,A,D,B,A,A,A,C,E,B,B,C,C,C,A,C,C
696310.0,C,A,A,B,A,C,B,A,B,H,C,C,B,A,D,A,H,C,C,C,B,A,C,C,C,B,A,D,B,D,E,B,F,D,B,A,B,C,A
696363.0,E,C,C,A,A,A,B,C,C,G,C,C,D,B,B,B,J,B,B,A,B,A,C,D,C,A,A,C,C,D,E,A,B,B,C,D,D,D,C
696477.0,A,B,A,A,B,B,B,A,B,D,B,D,C,D,C,A,H,B,D,B,D,B,A,C,C,A,B,B,B,D,D,B,G,D,C,B,B,B,A
697091.0,D,D,D,A,C,B,B,B,D,F,A,A,B,C,B,C,J,D,A,B,C,C,A,A,B,B,C,A,B,A,E,C,B,C,D,A,B,D,B
697516.0,C,D,B,D,C,B,B,C,D,F,A,B,B,C,B,A,J,C,A,C,A,D,B,A,C,A,A,A,B,D,E,B,F,A,A,C,B,D,B
697595.0,C,B,A,D,A,B,D,C,B,E,C,C,D,A,B,B,H,A,D,B,A,A,A,C,B,A,A,C,C,D,E,A,G,C,B,D,C,D,A
697622.0,A,C,C,B,B,B,B,A,D,H,C,A,D,A,B,C,B,C,C,B,C,B,C,D,D,A,C,C,B,B,E,A,G,B,A,C,D,C,C
697647.0,D,D,D,B,C,C,C,C,D,C,A,A,B,D,D,C,J,D,A,C,C,C,B,A,D,A,B,A,A,A,E,C,G,B,D,A,A,C,A
697870.0,A,C,A,D,A,A,D,C,C,B,B,B,D,B,B,B,J,B,A,A,B,A,A,B,C,B,A,D,B,D,B,A,A,A,C,C,C,C,B
698078.0,E,A,A,D,B,B,A,A,B,E,C,C,D,A,D,B,H,A,C,B,B,A,A,C,B,B,A,C,B,A,E,A,B,B,E,D,C,D,B
698713.0,A,B,B,D,D,B,B,A,D,H,C,B,D,A,B,A,A,B,C,B,D,B,C,B,C,B,C,B,B,D,C,A,A,B,C,C,B,C,B
698957.0,B,B,A,D,B,A,A,C,B,G,B,C,C,B,D,A,H,B,D,A,C,D,A,B,B,B,C,A,B,D,C,B,G,B,A,D,B,D,B
698988.0,B,A,A,C,A,C,D,A,C,E,C,C,D,A,A,B,C,A,C,B,B,A,C,D,A,A,A,C,B,C,E,A,B,B,B,D,C,D,A
699014.0,A,D,B,D,C,A,D,A,D,C,C,A,B,C,D,A,K,C,D,B,D,D,A,A,D,B,B,A,A,C,E,B,G,A,A,C,B,C,A
699085.0,D,C,B,A,A,A,B,A,B,D,B,B,C,B,C,B,J,A,B,B,B,B,A,D,B,A,A,D,C,A,B,B,A,C,A,C,D,A,B
699458.0,D,D,B,B,C,B,B,C,D,G,A,B,B,B,A,A,E,C,A,B,D,C,B,A,D,B,C,B,B,A,E,B,B,C,A,B,C,D,B
699479.0,D,B,A,B,C,B,D,C,D,B,A,A,B,D,D,C,D,A,A,B,C,C,B,C,C,B,C,A,A,A,E,B,F,B,A,C,A,C,A
699679.0,D,D,B,D,C,B,B,C,D,G,A,A,B,C,B,C,J,B,B,B,D,C,B,B,D,B,D,A,B,A,E,C,G,B,A,C,B,D,B
699682.0,A,C,A,C,A,A,B,C,C,F,A,A,C,B,A,B,J,A,C,A,B,A,C,B,D,A,A,D,C,B,B,A,G,B,C,C,D,B,C
699716.0,D,D,D,B,C,B,C,C,D,H,C,A,D,B,D,A,J,A,B,B,C,D,B,A,D,B,A,A,A,C,E,B,A,D,A,A,C,C,A
700045.0,B,A,A,D,B,A,D,A,C,G,C,A,C,B,A,A,J,D,C,B,A,A,B,B,D,A,B,A,C,B,E,A,B,C,D,B,A,D,C
700165.0,C,B,A,A,C,B,C,A,D,H,C,A,B,A,D,C,H,C,C,B,D,D,A,A,D,B,A,A,A,A,E,D,B,A,A,D,C,C,A
700475.0,B,A,C,D,A,B,B,C,D,H,C,B,D,A,D,B,G,B,B,B,A,B,C,C,D,B,A,C,B,D,A,A,F,B,C,C,B,C,B
701125.0,D,C,B,D,B,B,D,C,D,A,B,A,C,B,C,B,J,A,A,C,A,C,B,C,D,A,B,B,C,D,E,A,D,A,B,C,C,B,A
701776.0,E,B,A,A,B,B,B,C,C,B,C,B,D,A,D,B,B,C,C,B,B,A,A,C,C,B,B,C,B,B,E,A,F,C,B,D,C,C,C
