caseid,BLOCK0QID11_W1,BLOCK0QID12_W1,BLOCK0QID13_W1,BLOCK0QID14_W1,BLOCK0QID15_W1,BLOCK0QID18_W1,BLOCK0QID20_W1,BLOCK0QID21_W1,BLOCK0QID22_W1,BLOCK30QID9_1_W1,BLOCK30QID9_2_W1,BLOCK30QID9_3_W1,BLOCK30QID9_4_W1,BLOCK30QID9_5_W1,BLOCK30QID9_6_W1,BLOCK30QID9_7_W1,BLOCK30QID9_8_W1,BLOCK30QID9_9_W1,BLOCK30QID9_10_W1,BLOCK30QID9_11_W1,BLOCK30QID9_12_W1,BLOCK30QID9_13_W1,BLOCK30QID9_14_W1,BLOCK30QID9_15_W1,BLOCK30QID9_16_W1,BLOCK30QID9_17_W1,BLOCK30QID9_18_W1,BLOCK30QID9_19_W1,BLOCK30QID9_20_W1,BLOCK30QID9_21_W1,BLOCK30QID9_22_W1,BLOCK30QID9_23_W1,BLOCK30QID9_24_W1,BLOCK30QID9_25_W1,BLOCK30QID9_26_W1,BLOCK30QID9_27_W1,BLOCK30QID9_28_W1,BLOCK30QID9_29_W1,BLOCK30QID9_30_W1,BLOCK30QID9_31_W1,BLOCK30QID9_32_W1,BLOCK30QID9_33_W1,BLOCK30QID9_34_W1,BLOCK30QID9_35_W1,BLOCK30QID9_36_W1,BLOCK30QID9_37_W1,BLOCK30QID9_38_W1,BLOCK30QID9_39_W1,BLOCK30QID9_40_W1
10000517,D,B,A,C,A,B,A,D,C,B,A,A,B,A,B,B,B,B,A,B,A,A,B,A,B,A,A,B,B,A,B,A,A,A,A,A,B,B,A,B,A,B,A,A,B,B,B,A,A
10000518,B,B,B,B,E,K,B,A,D,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,B,B,B,B,B,B,B
10000519,C,A,B,B,B,J,C,D,C,B,A,B,B,A,A,B,B,A,B,B,B,A,B,A,A,A,A,A,A,B,A,B,B,A,A,A,A,B,A,A,A,B,B,B,A,B,B,A,A
10000520,D,A,B,E,C,A,C,C,C,A,B,B,A,B,B,A,B,B,B,A,B,A,A,B,A,B,B,A,A,B,B,B,A,B,B,A,A,B,B,B,A,B,B,B,B,B,A,B,A
10000521,A,A,A,E,D,J,A,C,B,B,A,A,A,A,A,A,A,B,B,A,B,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A
10000522,A,A,C,E,B,L,C,B,D,B,A,B,A,B,A,B,A,B,A,B,B,B,A,A,A,A,A,A,B,B,A,B,B,A,B,A,B,A,A,B,A,A,B,B,A,A,A,A,A
10000523,B,B,B,F,A,A,A,E,A,A,B,B,B,A,B,A,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,A,B
10000524,C,A,B,F,C,L,B,E,E,B,A,B,B,B,A,B,B,B,A,B,B,A,A,A,B,B,A,A,A,A,B,B,B,B,A,B,B,B,A,A,A,B,B,A,B,A,A,B,B
10000525,D,B,B,F,A,J,B,C,D,A,A,B,B,A,B,A,A,B,B,A,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,B,B
10000526,A,B,A,F,A,A,B,B,D,A,B,A,B,B,A,B,A,B,B,B,B,B,A,A,B,A,A,B,B,B,B,A,B,A,B,A,A,B,B,A,B,B,B,A,B,B,A,A,B
10000527,C,B,C,B,A,B,A,C,B,B,A,A,A,B,B,B,B,B,A,B,B,A,B,A,B,A,B,A,B,A,B,B,B,B,A,A,A,A,A,B,B,A,A,B,B,A,A,B,B
10000528,C,A,B,F,D,A,A,E,A,A,A,A,B,A,A,B,A,A,A,A,A,B,A,B,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
10000529,B,B,C,D,A,K,D,D,A,B,B,A,B,B,A,B,B,B,A,A,B,B,B,B,A,A,B,A,B,B,B,B,A,B,A,A,B,A,A,A,B,A,B,B,B,A,A,A,B
10000530,D,A,A,E,C,B,A,E,B,A,A,A,A,B,A,A,A,A,A,B,A,B,B,B,A,A,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A
10000531,A,B,B,C,A,I,C,C,E,B,A,A,B,A,A,B,A,B,B,A,B,B,A,A,A,A,B,B,B,A,B,B,A,A,B,B,A,B,A,B,A,B,B,A,B,B,A,A,B
10000532,A,A,A,B,A,L,A,E,B,B,A,B,B,A,B,B,A,B,B,B,A,A,B,A,A,A,B,A,A,B,A,B,A,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B
10000533,C,B,C,D,B,K,B,C,D,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A
10000534,B,B,B,E,A,I,B,A,E,A,A,B,B,B,A,A,B,A,B,B,B,B,A,A,A,B,B,B,B,B,A,B,B,B,A,B,A,B,B,B,B,B,A,A,B,B,A,B,B
10000535,C,B,C,E,A,A,A,E,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,B,A,B,A,B,A,A,B,A,B,A,A,A,B,A,A,B
10000536,B,B,C,E,A,L,B,E,C,B,B,A,B,B,A,B,B,B,A,B,B,B,B,B,A,A,A,A,B,B,B,B,A,A,B,B,A,A,B,B,B,B,B,B,A,B,B,B,B
10000537,A,A,B,C,A,J,B,E,D,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,A,A,B,A,B,B,B,B,A,A,A,A,B,B,A,B,B,A,B,B
10000538,C,B,D,E,B,B,B,D,D,A,B,A,A,A,A,B,B,B,B,A,B,B,B,A,A,B,A,A,A,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,B,A,A,A
10000539,A,B,C,D,A,B,C,C,C,A,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,A,B,A,B,A,B,A,B,A,B,B,A,A,B,A,A,B,B,A,B,B,A,B
10000540,B,A,C,D,A,A,A,E,B,A,A,B,A,B,A,A,A,B,B,A,B,A,A,B,A,A,A,B,A,A,B,B,A,A,B,A,B,A,A,B,B,A,A,A,B,A,B,B,A
10000541,C,A,C,D,A,A,C,C,A,B,B,A,A,B,B,B,B,B,A,B,A,A,B,B,B,B,A,B,B,A,B,B,A,A,B,A,A,B,A,B,B,B,B,B,B,A,B,B,B
10000542,A,A,B,D,E,B,C,B,C,B,A,A,B,A,A,A,B,B,B,B,B,A,A,B,A,A,B,B,A,A,B,A,A,A,A,B,B,A,B,A,A,B,A,A,B,B,A,B,A
10000543,B,A,B,B,D,I,B,B,D,B,A,A,A,B,B,A,B,A,B,A,A,A,B,B,B,A,A,B,A,B,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,B,B,A,B
10000544,C,B,A,B,A,I,B,A,D,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,B,B,A,B
10000545,C,B,D,C,A,K,B,B,D,A,A,B,A,B,B,A,A,A,A,A,B,A,A,A,B,A,A,B,B,B,B,A,A,A,A,A,B,A,A,A,A,A,A,B,A,B,B,B,B
10000546,A,A,B,E,A,I,C,D,B,B,B,B,B,B,A,A,B,B,B,A,B,B,A,B,B,B,A,B,A,B,A,B,B,B,B,B,B,A,A,B,B,B,B,A,A,B,B,A,B
10000547,C,B,B,D,A,L,B,B,D,A,B,B,B,B,A,B,A,B,A,A,A,B,A,B,B,B,B,B,B,B,A,B,B,B,B,A,B,B,B,B,B,A,A,A,A,B,B,B,B
10000548,C,A,D,E,A,B,B,E,D,B,B,A,A,B,B,A,B,B,A,A,B,B,A,B,A,A,A,B,B,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,A,A,A,B,A
10000549,C,B,A,D,A,K,C,E,D,A,A,A,B,B,B,A,A,B,A,A,A,B,B,B,A,B,A,B,A,B,A,A,A,A,A,B,A,B,A,A,B,A,A,A,A,A,B,A,B
10000550,C,A,B,E,A,K,B,D,E,A,A,B,B,A,A,A,B,A,B,B,B,A,A,A,A,A,A,A,B,A,A,B,A,A,B,B,A,A,B,A,A,A,B,B,B,B,A,A,B
10000551,D,A,C,D,E,G,C,E,C,B,B,B,A,B,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,B,A,B,A,A,B,B,B,A,A,A,A,A,B,A
10000552,A,A,D,E,B,K,B,B,E,A,B,A,A,A,B,B,A,B,A,A,B,A,B,B,B,B,A,B,B,B,B,A,B,B,A,B,B,B,B,B,B,B,A,B,B,B,B,A,A
10000553,C,B,C,F,A,J,B,A,E,B,A,B,B,A,B,B,B,B,B,A,B,A,B,B,B,B,B,A,A,B,B,B,A,B,B,B,B,B,A,B,B,A,B,B,B,B,B,A,B
10000554,C,A,B,E,A,J,C,A,E,B,B,A,A,B,A,A,B,B,B,B,B,A,B,B,B,B,B,A,B,B,B,B,B,A,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B
10000555,C,A,C,B,D,E,B,C,D,A,B,A,A,B,A,A,A,B,A,A,B,B,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,A,B,A,A,B,A,B,A,A
10000556,A,A,C,E,A,B,A,E,B,B,B,B,B,A,A,A,B,A,B,A,A,B,B,A,A,B,A,B,B,A,A,A,A,B,B,A,B,B,B,B,A,B,B,A,A,B,B,B,A
10000557,C,A,C,E,A,L,B,C,D,B,B,B,B,A,B,B,B,B,B,B,B,A,B,B,B,B,B,A,A,B,A,B,B,B,B,A,B,B,A,B,B,A,B,B,B,A,A,B,A
10000558,C,A,B,E,A,A,A,A,A,B,B,B,A,A,A,A,A,B,B,B,A,B,A,B,B,B,B,B,B,B,A,A,B,B,A,A,B,B,A,A,B,B,A,B,A,A,B,A,B
10000559,A,A,C,E,A,E,A,E,B,B,A,B,B,A,B,A,B,A,B,B,B,A,B,A,A,B,A,B,B,B,A,A,B,B,B,B,B,A,A,B,B,A,B,B,A,A,B,B,B
10000560,C,A,B,E,B,K,A,D,C,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A
10000561,C,B,C,D,A,J,C,A,C,B,B,A,A,B,B,A,A,B,A,B,B,B,A,A,B,A,B,B,B,B,B,B,A,A,A,A,B,A,B,B,A,B,B,B,A,A,B,B,B
10000562,C,A,B,C,A,A,B,B,D,A,A,A,A,B,B,B,B,B,B,B,A,B,B,B,A,B,B,B,B,B,A,A,B,A,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B
10000563,D,B,D,D,A,B,C,E,C,B,A,A,B,A,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,B,A,A,B,B,B,A,B,A,A,B,B,A,A,B,A,A,A,A,B
10000564,D,B,B,B,D,A,B,B,E,B,B,B,B,A,B,A,B,B,A,B,A,B,B,A,B,B,B,A,A,A,B,B,A,A,B,B,B,B,B,B,A,B,B,A,B,A,B,A,A
10000565,B,A,D,C,A,I,C,A,D,A,B,B,B,B,B,B,B,A,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B
10000566,C,A,C,C,A,B,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,B,A,B,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A
10000567,C,A,A,E,A,B,C,C,C,B,A,A,B,A,A,A,A,A,B,B,B,B,A,A,B,B,B,A,B,B,B,A,A,B,A,A,B,B,B,B,A,B,B,A,B,A,B,A,B
10000568,C,A,C,D,A,A,A,C,B,B,A,A,A,A,A,B,B,A,B,A,B,A,A,B,A,A,A,B,A,A,A,A,B,B,A,A,B,B,B,A,A,B,B,A,A,A,B,A,A
10000569,A,B,C,E,E,A,C,E,C,A,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,A,B,B,B,A,B,A,B,B,A,A,B,B,A,B,A,A,A
10000570,D,A,C,C,A,J,A,D,B,B,A,B,B,A,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,A,B,A,B,B,A,B,B,B,B,B,B,A,B,B,B,B,A,B,A
10000571,A,B,A,E,B,A,C,A,B,A,B,A,B,B,B,B,B,A,A,A,A,B,A,A,A,B,A,A,A,A,B,B,B,B,B,B,B,A,A,B,B,A,B,B,B,B,A,B,A
10000572,C,B,D,B,A,B,A,B,A,A,B,A,A,B,A,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,B,A,A,A,B,B,B,B,A,B,B,A,A,A,B,A,B,A,A
10000573,C,B,C,E,A,A,C,E,C,B,B,B,A,B,B,B,A,A,B,B,B,B,A,B,B,A,A,A,B,B,A,A,B,A,A,A,A,B,A,B,A,B,B,B,B,B,B,B,A
10000574,D,A,B,E,C,J,B,C,C,B,B,A,A,B,A,A,B,B,A,A,A,B,B,B,A,A,A,A,B,B,B,B,B,B,A,B,A,A,B,A,B,A,B,A,B,A,B,B,A
10000575,D,B,C,D,A,J,B,E,E,A,B,B,A,B,B,A,B,B,B,B,A,B,B,B,B,B,A,A,B,A,A,B,B,B,A,B,A,A,B,A,A,B,B,B,B,A,B,B,B
10000576,C,B,A,C,D,I,B,E,D,B,A,B,B,B,B,B,A,B,B,B,B,B,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,B,B,A,B,B,B,A,A,A,B,B,B
10000577,B,A,B,F,A,B,A,E,B,B,B,A,A,A,A,B,B,A,B,A,B,B,A,B,A,B,A,B,A,B,A,B,A,B,B,B,B,B,B,A,A,B,A,B,B,A,B,B,A
10000578,C,A,C,E,A,A,C,A,C,B,A,B,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,B,A,B,B,B,B,B,B,B
10000579,A,B,C,E,E,K,C,A,E,B,B,B,A,A,B,A,B,A,B,B,B,A,A,A,B,B,A,B,B,A,B,A,B,B,A,A,A,A,B,A,B,A,A,B,B,A,B,B,A
10000580,B,A,B,B,B,L,C,B,C,A,B,A,B,B,B,B,B,A,A,B,A,B,B,A,A,B,A,A,A,A,B,B,B,A,B,A,A,A,A,A,A,B,B,B,B,A,B,A,A
10000581,C,B,C,C,B,A,B,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,B,A
10000582,A,A,A,A,A,L,C,A,C,A,A,B,B,B,B,B,B,B,B,A,A,B,B,A,B,B,B,B,A,B,B,A,B,B,B,B,A,B,A,B,B,A,B,B,B,B,B,B,B
10000583,B,B,B,E,A,I,B,E,D,A,B,B,B,B,B,A,B,A,A,B,B,B,B,A,A,B,B,A,B,B,A,A,B,B,A,B,B,A,B,B,A,B,A,A,A,B,A,B,B
10000584,C,A,B,C,A,A,A,B,B,A,A,B,B,B,A,A,A,A,B,B,B,B,B,B,B,B,A,A,B,B,A,B,A,B,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A
10000585,A,A,C,E,A,E,B,D,D,B,B,A,B,B,A,A,A,B,A,A,B,B,B,B,A,B,A,A,B,A,B,B,B,B,B,A,B,A,B,B,B,B,A,B,B,B,B,B,B
10000586,C,A,B,B,A,I,B,C,E,A,A,A,A,A,B,A,A,A,B,A,A,A,A,B,B,B,B,A,B,B,B,A,A,B,B,B,B,A,A,A,A,B,B,B,A,B,B,A,B
10000587,C,B,B,E,A,A,C,B,C,A,B,B,B,A,B,B,B,B,B,A,B,B,A,B,B,B,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B
10000588,C,B,C,E,A,A,A,E,B,A,B,B,B,A,A,A,B,B,B,B,B,B,B,B,A,B,A,B,A,B,A,A,B,A,B,B,A,B,A,A,B,B,B,B,B,B,B,B,B
10000589,D,B,C,E,D,K,D,A,C,B,B,B,A,B,A,B,B,A,B,B,B,B,B,B,B,A,B,B,A,A,B,B,B,B,B,A,A,B,B,A,B,B,B,B,A,B,B,A,B
10000590,C,B,C,E,C,A,D,E,C,B,A,B,B,B,B,B,A,A,B,B,B,A,B,B,B,B,B,A,B,A,B,B,A,B,B,B,B,A,B,B,B,A,B,A,B,B,B,B,B
10000591,C,B,B,B,B,E,B,A,E,A,A,B,B,A,B,A,A,B,A,B,B,A,A,A,A,B,B,B,B,A,A,A,B,B,B,B,B,A,B,B,A,B,B,B,A,B,A,A,A
10000592,B,B,B,F,D,A,A,C,B,B,B,A,B,B,A,A,B,A,A,B,B,A,A,A,A,A,A,B,B,A,B,B,B,B,B,A,B,B,B,A,B,A,B,B,A,A,B,B,B
10000593,C,A,B,F,A,B,B,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A
10000594,D,A,C,C,D,L,C,B,C,A,B,B,B,B,B,A,B,B,A,B,A,B,A,B,B,B,B,A,A,A,B,B,B,B,A,B,B,A,B,B,A,B,B,A,B,B,A,B,B
10000595,A,B,A,B,D,B,B,A,D,B,B,B,B,B,A,B,B,B,A,A,A,B,B,A,A,B,A,B,B,A,B,A,B,B,A,B,A,B,B,B,B,A,B,A,A,A,B,A,A
10000596,D,A,A,B,D,B,B,C,D,A,A,A,B,B,B,B,B,A,B,B,A,A,A,B,B,B,B,A,B,B,A,A,A,B,B,A,B,A,A,B,B,B,A,B,B,B,B,A,A
10000597,A,B,A,E,A,L,B,C,D,A,B,A,B,B,A,B,A,A,B,B,A,A,B,A,A,A,B,A,A,B,A,B,B,B,B,B,A,A,B,B,A,B,B,B,B,A,B,A,B
10000598,C,B,C,C,A,J,B,E,C,A,B,B,A,A,B,B,B,A,B,A,B,B,A,B,A,B,B,B,A,B,B,B,A,B,B,A,A,B,B,B,B,A,B,B,A,B,A,A,B
10000599,C,B,B,E,A,I,C,D,C,A,B,B,A,B,B,A,B,B,A,B,A,B,B,B,B,A,A,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,A,A,B,B,A,B,A
10000600,D,A,A,C,C,L,B,A,E,A,A,B,A,B,A,B,B,A,B,B,B,B,A,A,A,B,B,A,B,A,A,B,B,B,B,A,B,B,A,B,A,B,B,B,B,B,A,B,A
10000601,A,A,D,F,A,E,C,D,C,A,A,B,B,B,B,A,B,A,B,A,B,A,A,B,A,B,A,A,B,A,A,B,B,B,A,A,A,A,A,A,B,A,B,B,A,B,A,B,A
10000602,A,B,C,E,B,B,B,A,D,B,A,A,B,A,B,A,B,B,B,B,A,A,B,B,B,B,B,A,B,B,B,A,A,B,B,B,A,B,A,B,A,B,A,B,B,A,A,A,B
10000603,C,A,A,B,B,B,A,C,B,A,A,A,B,A,B,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,B
10000604,A,B,A,B,A,J,B,B,D,B,A,A,B,A,B,B,A,B,A,A,B,A,A,A,B,A,A,A,B,A,B,A,A,A,B,B,A,A,A,A,A,B,A,B,A,B,A,A,B
10000605,A,A,B,E,A,L,A,E,B,A,B,B,B,B,B,B,A,B,B,A,B,A,B,B,B,B,A,B,B,B,B,B,B,B,B,A,B,B,A,B,B,B,B,A,B,B,B,B,B
10000606,D,A,C,E,C,J,B,D,E,B,B,B,B,B,B,A,B,B,A,B,B,B,B,A,B,B,A,A,A,B,B,B,B,B,A,B,B,B,A,A,A,B,B,B,A,B,A,B,B
10000607,B,A,B,C,A,J,A,E,C,B,B,A,A,B,A,A,A,A,B,B,B,B,B,B,A,B,B,B,B,B,A,B,A,A,B,B,A,B,A,A,B,B,B,B,B,B,B,A,B
10000608,B,A,C,C,B,K,D,C,C,B,A,B,B,A,B,A,A,A,B,A,B,B,B,A,A,B,B,B,A,A,B,B,A,A,A,B,A,A,B,A,B,A,A,B,A,A,B,B,B
10000609,A,B,B,B,A,J,B,A,D,B,B,B,B,B,A,B,A,B,B,B,A,B,B,B,B,B,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,B,A,B,B,A,B,A,B
10000610,D,B,D,B,A,A,A,E,B,B,B,A,A,A,B,A,A,A,A,B,A,B,A,B,B,B,B,B,B,A,A,B,B,A,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B
10000611,B,A,A,C,A,A,B,E,E,A,A,B,B,A,A,B,A,B,B,B,B,A,A,B,A,B,A,A,A,A,B,A,A,A,A,B,B,A,A,A,A,B,B,B,B,A,B,A,A
10000612,D,B,D,C,A,K,B,B,E,B,B,B,B,B,B,A,B,B,B,B,A,A,B,B,B,A,B,A,A,B,A,B,B,B,B,A,B,B,B,B,B,B,B,B,B,A,A,A,B
10000613,A,A,B,B,A,L,A,D,B,A,A,B,A,A,B,A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B
10000614,D,A,D,F,A,J,C,E,C,B,A,B,B,B,A,A,A,B,B,B,B,B,A,B,B,A,B,B,B,A,A,A,B,A,B,B,B,B,B,A,B,A,B,B,B,B,B,A,B
10000615,B,B,C,B,A,L,A,C,B,A,A,A,A,B,B,B,A,B,B,A,A,B,A,B,A,A,B,A,A,A,B,A,B,A,A,A,B,A,B,A,A,A,B,A,A,A,A,A,B
10000616,C,A,C,C,A,L,C,E,C,B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,A,B,A,A,B,B,A,B,B,B,B,B,A,B,A,B,B,A,B,A,A,B,A,A,A
10000617,B,A,B,C,A,B,A,C,B,B,A,A,B,A,B,A,A,A,B,A,A,B,A,A,B,B,A,A,B,A,B,A,A,B,A,B,B,B,A,B,A,B,A,B,B,B,B,B,A
10000618,D,B,A,E,C,L,B,D,D,B,A,A,B,B,A,B,A,B,A,A,A,B,A,A,A,B,B,B,B,B,A,A,B,B,A,A,B,B,B,A,A,B,A,B,A,B,B,A,B
10000619,D,B,B,E,C,I,B,E,D,A,B,A,B,A,B,B,B,B,B,B,B,A,B,A,A,A,B,A,A,B,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B,A,B,B,A
10000620,B,A,C,E,A,J,B,A,D,B,A,B,B,A,B,B,A,B,B,A,B,A,B,B,B,A,B,A,B,A,A,B,B,B,A,B,A,A,B,B,A,B,A,A,B,A,B,B,B
10000621,D,B,A,E,D,B,B,D,D,B,A,A,B,B,B,B,A,B,B,B,B,A,B,B,A,B,B,B,A,B,A,A,B,A,A,B,B,B,A,B,B,B,B,B,A,B,A,B,A
10000622,B,B,A,E,A,A,C,E,B,B,B,B,B,B,B,B,B,A,A,B,B,B,A,A,A,A,B,A,B,A,A,B,A,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,B
10000623,A,B,A,E,C,J,B,B,E,B,A,A,A,B,B,A,B,A,B,B,A,B,B,B,B,B,A,B,B,B,B,A,B,B,A,A,B,B,B,A,A,B,B,A,B,B,A,B,B
10000624,A,B,B,C,A,A,C,E,B,A,A,A,B,A,B,A,A,B,A,B,B,A,B,B,B,B,B,A,A,B,A,B,B,B,A,B,B,B,A,B,B,A,A,B,B,B,A,A,B
10000625,C,A,D,E,A,A,A,C,A,A,B,A,A,A,B,A,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,A,B,B,B,B,A,B,A,B,B,B,B,B
10000626,D,B,A,E,C,I,B,B,D,B,A,A,B,A,B,B,B,B,B,A,B,B,B,B,A,B,B,B,B,A,A,A,A,B,B,A,A,B,B,B,B,A,B,B,A,B,B,A,B
10000627,D,B,B,E,A,J,B,C,E,B,A,B,A,A,A,B,B,B,A,B,A,B,A,A,B,A,A,A,A,A,B,A,B,B,A,B,B,A,A,A,B,B,A,B,B,A,B,A,A
10000628,B,B,B,C,B,J,C,A,D,A,B,A,B,B,B,A,A,B,B,A,B,B,B,B,B,B,B,B,A,B,B,B,A,B,A,A,A,B,B,B,B,B,B,B,A,B,B,B,A
10000629,C,A,A,C,A,I,C,B,E,A,A,A,B,A,A,B,B,B,B,B,A,B,A,B,A,A,B,A,A,A,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,B,B,A,A
10000630,D,B,A,B,A,L,B,C,E,B,B,A,A,A,A,B,A,A,A,B,B,B,A,A,A,A,A,B,A,A,B,A,B,B,A,A,B,A,B,B,A,A,B,A,A,A,A,A,A
10000631,A,A,B,E,A,B,A,E,A,A,A,B,B,B,B,B,A,A,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,A,B,A,B,B,A,B,B,B,A,B,B
10000632,A,B,B,E,A,A,C,D,C,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,A,A,B,B,A,A,A
10000633,C,B,B,C,A,B,B,E,D,B,B,A,A,A,A,B,B,B,A,A,A,B,A,B,A,A,A,A,B,B,B,B,B,A,A,B,A,A,B,B,B,A,B,A,B,A,A,A,A
10000634,C,B,A,B,B,K,C,C,C,B,A,A,A,B,A,B,B,B,A,A,B,A,B,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,B,B,B
10000635,D,B,A,C,B,K,C,C,C,B,B,B,A,B,B,A,A,A,A,A,B,B,A,A,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,B,B,A,B,B,B,A,A,A,A
10000636,C,B,C,C,A,A,A,C,A,B,B,A,B,B,B,B,A,B,B,A,B,B,A,B,A,A,B,A,B,B,B,B,A,B,A,B,B,A,A,B,B,A,B,A,A,A,A,B,B
10000637,C,B,B,E,D,B,A,B,A,B,B,A,B,B,A,B,B,B,A,B,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,B,B
10000638,C,B,D,D,A,E,B,A,E,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,B,B,A,B,B,A,B,B,A,B,A,B,B,A,A,B,B,A,A,B,A,B,B,B,A
10000639,B,B,B,C,A,L,C,D,C,B,B,A,B,B,B,A,A,A,A,B,B,B,A,A,A,B,B,A,B,B,B,A,B,A,A,B,B,B,A,A,B,A,A,A,B,B,A,B,B
10000640,B,B,C,F,A,B,A,E,A,B,A,A,A,B,B,A,A,B,A,A,A,B,A,B,B,A,A,A,A,A,B,A,A,B,A,A,B,A,A,B,A,A,B,B,A,B,A,B,B
10000641,A,B,B,B,D,L,B,A,E,B,A,A,B,B,A,B,B,B,B,B,A,A,A,A,B,B,B,B,B,B,B,B,A,B,A,A,A,B,A,A,B,A,B,B,A,B,B,B,B
10000642,C,B,C,E,E,K,C,C,B,A,B,B,B,B,B,A,B,B,A,A,B,A,A,A,A,A,A,B,B,B,B,B,B,B,A,B,B,B,B,B,A,A,A,A,A,B,A,B,A
10000643,D,B,C,E,C,K,A,E,B,A,B,B,B,A,A,A,A,A,A,A,A,A,B,B,A,A,B,B,A,A,B,B,B,B,A,A,A,B,A,A,A,A,A,B,A,A,B,A,B
10000644,C,B,B,E,A,J,C,B,D,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,A,B,B,A,B,A,A,B,B,A,B,B,B,A,B,B,B,B,B
10000645,C,A,C,D,D,B,B,C,C,A,A,A,A,A,A,A,B,A,A,B,A,A,A,B,A,B,B,B,A,A,A,B,A,B,A,B,A,A,B,A,B,A,B,A,A,A,B,B,A
10000646,D,A,B,E,A,B,A,E,A,A,A,B,A,A,A,B,A,A,A,A,A,A,B,A,A,B,A,B,A,A,A,A,A,A,A,B,A,A,B,A,B,B,A,A,A,B,A,A,A
